phase12a_rank,candidate_id,instrument,branch,side,od_window,od_start,od_end,pullback_anchor,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,trades,active_days,trades_per_active_day,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,invalid_risk_skipped_count,first_pullback_only_count,skipped_non_first_pullbacks,phase12a_label,research_axis_status,phase12a_score,reject_reasons
31,MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,short_first_pullback,short,OD15,09:30,09:45,drive_boundary_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,37,37,1.0,-467.37,-568.75,-568.75,-568.75,-605.75,-61.27,-402.15,-467.9,1.0,1.0,73.57,71.64,0.189189,0.675676,0.135135,-306.36,-327.36,0.5,-277.67,0,37,32,phase12a_rejected_low_activity,axis_failed,-5651.01,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
32,MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,drive_boundary_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,58,58,1.0,-352.13,-511.05,-511.05,-511.05,-569.05,-95.86,-202.38,-536.07,1.0,1.0,33.63,41.11,0.37931,0.603448,0.017241,-306.3,-344.3,0.166667,-192.18,0,58,100,phase12a_rejected_low_activity,axis_failed,-5699.42,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
33,MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,short_first_pullback,short,OD15,09:30,09:45,ema20_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,52,52,1.0,-417.37,-559.85,-559.85,-559.85,-611.85,-161.66,91.32,-784.45,1.0,1.0,84.67,80.4,0.480769,0.326923,0.192308,-94.24,-120.24,0.333333,-253.2,0,52,170,phase12a_rejected_low_activity,axis_failed,-5766.54,low activity; negative stress; negative validation; fold instability; concentration
34,MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,drive_boundary_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,46,46,1.0,-466.06,-592.1,-592.1,-592.1,-638.1,-165.21,-119.59,-675.88,1.0,1.0,41.03,53.04,0.26087,0.695652,0.043478,-400.65,-429.65,0.333333,-242.49,0,46,41,phase12a_rejected_low_activity,axis_failed,-5993.63,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
35,MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,short_first_pullback,short,OD15,09:30,09:45,drive_boundary_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,41,41,1.0,-651.89,-764.23,-764.23,-764.23,-805.23,-230.42,-61.18,-812.79,1.0,1.0,75.73,62.54,0.365854,0.487805,0.146341,-118.04,-139.04,0.333333,-207.46,0,41,84,phase12a_rejected_low_activity,axis_failed,-6007.06,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
36,MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,drive_boundary_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,49,49,1.0,-413.08,-547.34,-547.34,-547.34,-596.34,-240.01,-169.8,-674.36,1.0,1.0,51.68,58.58,0.408163,0.0,0.591837,-509.02,-540.02,0.5,-276.87,0,49,23,phase12a_rejected_low_activity,axis_failed,-6060.72,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
37,MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,drive_boundary_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,57,57,1.0,-446.5,-602.68,-602.68,-602.68,-659.68,-28.66,-419.62,-683.9,1.0,1.0,42.75,52.36,0.350877,0.578947,0.070175,-504.4,-539.4,0.0,-215.42,0,57,104,phase12a_rejected_low_activity,axis_failed,-6132.98,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
38,MNQ_12a_odpullback_short_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,short_first_pullback,short,OD60,09:30,10:30,ema20_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,41,41,1.0,-559.0,-671.34,-671.34,-671.34,-712.34,-370.16,-133.72,-944.48,1.0,1.0,84.3,71.71,0.439024,0.0,0.560976,-612.04,-633.04,0.0,-281.96,0,41,87,phase12a_rejected_low_activity,axis_failed,-6539.86,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
39,MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,short_first_pullback,short,OD15,09:30,09:45,ema20_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,44,44,1.0,-676.83,-797.39,-797.39,-797.39,-841.39,-496.56,-376.35,-1065.64,1.0,1.0,80.69,87.57,0.386364,0.386364,0.227273,-699.33,-721.33,0.333333,-432.61,0,44,71,phase12a_rejected_low_activity,axis_failed,-6878.36,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
40,MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,58,58,1.0,-804.42,-963.34,-963.34,-963.34,-1021.34,-147.86,-213.88,-1088.52,1.0,1.0,52.31,57.66,0.62069,0.0,0.37931,-634.3,-672.3,0.5,-399.42,0,58,100,phase12a_rejected_low_activity,axis_failed,-7032.16,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
