candidate_id,session_date,session_pnl,session_trades,weekday,signal_density,best_trade_pnl,worst_trade_pnl,first_entry_time,last_entry_time
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,2026-06-02,222.18,2,Tuesday,2,167.92,54.26,2026-06-02 09:48:00-04:00,2026-06-02 10:32:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,2025-11-14,357.47,1,Friday,1,357.47,357.47,2025-11-14 09:40:00-05:00,2025-11-14 09:40:00-05:00
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,2026-05-14,227.44,2,Thursday,2,230.68,-3.24,2026-05-14 09:36:00-04:00,2026-05-14 13:19:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,2026-03-19,218.11,2,Thursday,2,221.35,-3.24,2026-03-19 09:42:00-04:00,2026-03-19 11:26:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,2025-11-14,357.47,1,Friday,1,357.47,357.47,2025-11-14 09:40:00-05:00,2025-11-14 09:40:00-05:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,2026-05-14,230.68,1,Thursday,1,230.68,230.68,2026-05-14 09:36:00-04:00,2026-05-14 09:36:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,2026-03-19,221.35,1,Thursday,1,221.35,221.35,2026-03-19 09:42:00-04:00,2026-03-19 09:42:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap15_sal0_saw0_dlnone_dpnone,2025-11-14,357.47,1,Friday,1,357.47,357.47,2025-11-14 09:40:00-05:00,2025-11-14 09:40:00-05:00
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap15_sal0_saw0_dlnone_dpnone,2026-05-14,227.44,2,Thursday,2,230.68,-3.24,2026-05-14 09:36:00-04:00,2026-05-14 10:03:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap15_sal0_saw0_dlnone_dpnone,2026-06-02,222.18,2,Tuesday,2,167.92,54.26,2026-06-02 09:48:00-04:00,2026-06-02 10:32:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt3_gap15_sal0_saw0_dlnone_dpnone,2025-11-14,357.47,1,Friday,1,357.47,357.47,2025-11-14 09:40:00-05:00,2025-11-14 09:40:00-05:00
exclude_wednesday__vwap_failure_1_5_time30__mt3_gap15_sal0_saw0_dlnone_dpnone,2026-05-14,328.31,3,Thursday,3,230.68,-3.24,2026-05-14 09:36:00-04:00,2026-05-14 10:18:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt3_gap15_sal0_saw0_dlnone_dpnone,2026-02-13,-323.58,3,Friday,3,-3.24,-177.52,2026-02-13 09:38:00-05:00,2026-02-13 10:10:00-05:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,2025-11-14,357.47,1,Friday,1,357.47,357.47,2025-11-14 09:40:00-05:00,2025-11-14 09:40:00-05:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,2026-05-14,230.68,1,Thursday,1,230.68,230.68,2026-05-14 09:36:00-04:00,2026-05-14 09:36:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,2026-03-19,221.35,1,Thursday,1,221.35,221.35,2026-03-19 09:42:00-04:00,2026-03-19 09:42:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap30_sal0_saw0_dl1.5_dpnone,2025-11-14,357.47,1,Friday,1,357.47,357.47,2025-11-14 09:40:00-05:00,2025-11-14 09:40:00-05:00
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap30_sal0_saw0_dl1.5_dpnone,2026-05-14,227.44,2,Thursday,2,230.68,-3.24,2026-05-14 09:36:00-04:00,2026-05-14 10:07:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap30_sal0_saw0_dl1.5_dpnone,2026-06-02,222.18,2,Tuesday,2,167.92,54.26,2026-06-02 09:48:00-04:00,2026-06-02 10:32:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt3_gap30_sal0_saw0_dl1.5_dpnone,2025-11-14,357.47,1,Friday,1,357.47,357.47,2025-11-14 09:40:00-05:00,2025-11-14 09:40:00-05:00
