candidate_id,base_filter,exit_model,risk_model,fold,segment,segment_start,segment_end,trades,active_days,active_days_pct,net_pnl,stress_pnl,max_drawdown,best_day_concentration,best_trade_concentration
base_pre_14_00__fixed_r_1_5_time30__mt2_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap30_sal0_saw0_dl1.5_dpnone,1,test,2026-03-17,2026-04-21,46,25,1.0,77.71,31.71,-263.46,1.833998,1.875692
base_pre_14_00__fixed_r_1_5_time30__mt2_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap30_sal0_saw0_dl1.5_dpnone,2,test,2026-04-22,2026-05-27,47,25,1.0,430.47,383.47,-318.94,0.416452,0.423978
base_pre_14_00__fixed_r_1_5_time30__mt2_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap30_sal0_saw0_dl1.5_dpnone,3,test,2026-05-28,2026-07-02,49,25,1.0,791.99,742.99,-285.48,0.368401,0.372492
base_pre_14_00__fixed_r_1_5_time30__mt3_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt3_gap30_sal0_saw0_dl1.5_dpnone,1,test,2026-03-17,2026-04-21,57,25,1.0,-55.93,-112.93,-478.49,1.0,1.0
base_pre_14_00__fixed_r_1_5_time30__mt3_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt3_gap30_sal0_saw0_dl1.5_dpnone,2,test,2026-04-22,2026-05-27,56,25,1.0,398.31,342.31,-214.46,0.450077,0.458211
base_pre_14_00__fixed_r_1_5_time30__mt3_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt3_gap30_sal0_saw0_dl1.5_dpnone,3,test,2026-05-28,2026-07-02,57,25,1.0,316.82,259.82,-373.42,0.920933,0.93116
base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal0_saw0_dl2.0_dpnone,1,test,2026-03-17,2026-04-21,25,25,1.0,204.25,179.25,-155.72,0.713635,0.713635
base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal0_saw0_dl2.0_dpnone,2,test,2026-04-22,2026-05-27,25,25,1.0,90.0,65.0,-260.94,1.186222,1.186222
base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal0_saw0_dl2.0_dpnone,3,test,2026-05-28,2026-07-02,25,25,1.0,482.5,457.5,-296.22,0.61142,0.61142
base_pre_14_00__fixed_r_1_5_time30__mt2_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap60_sal0_saw0_dl2.0_dpnone,1,test,2026-03-17,2026-04-21,45,25,1.0,190.95,145.95,-347.39,0.746373,0.763341
base_pre_14_00__fixed_r_1_5_time30__mt2_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap60_sal0_saw0_dl2.0_dpnone,2,test,2026-04-22,2026-05-27,44,25,1.0,678.69,634.69,-275.68,0.32271,0.268915
base_pre_14_00__fixed_r_1_5_time30__mt2_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap60_sal0_saw0_dl2.0_dpnone,3,test,2026-05-28,2026-07-02,42,25,1.0,342.17,300.17,-518.46,0.852705,0.862174
base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal0_saw1_dlnone_dp1.0,1,test,2026-03-17,2026-04-21,25,25,1.0,204.25,179.25,-155.72,0.713635,0.713635
base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal0_saw1_dlnone_dp1.0,2,test,2026-04-22,2026-05-27,25,25,1.0,90.0,65.0,-260.94,1.186222,1.186222
base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal0_saw1_dlnone_dp1.0,3,test,2026-05-28,2026-07-02,25,25,1.0,482.5,457.5,-296.22,0.61142,0.61142
base_pre_14_00__fixed_r_1_5_time30__mt2_gap30_sal0_saw1_dlnone_dp1.5,base_pre_14_00,fixed_r_1_5_time30,mt2_gap30_sal0_saw1_dlnone_dp1.5,1,test,2026-03-17,2026-04-21,38,25,1.0,188.88,150.88,-260.22,0.771707,0.771707
base_pre_14_00__fixed_r_1_5_time30__mt2_gap30_sal0_saw1_dlnone_dp1.5,base_pre_14_00,fixed_r_1_5_time30,mt2_gap30_sal0_saw1_dlnone_dp1.5,2,test,2026-04-22,2026-05-27,39,25,1.0,567.39,528.39,-202.7,0.315956,0.321666
base_pre_14_00__fixed_r_1_5_time30__mt2_gap30_sal0_saw1_dlnone_dp1.5,base_pre_14_00,fixed_r_1_5_time30,mt2_gap30_sal0_saw1_dlnone_dp1.5,3,test,2026-05-28,2026-07-02,39,25,1.0,1229.89,1190.89,-282.24,0.239867,0.239867
base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal1_saw1_dl1.0_dp1.0,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal1_saw1_dl1.0_dp1.0,1,test,2026-03-17,2026-04-21,25,25,1.0,204.25,179.25,-155.72,0.713635,0.713635
base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal1_saw1_dl1.0_dp1.0,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal1_saw1_dl1.0_dp1.0,2,test,2026-04-22,2026-05-27,25,25,1.0,90.0,65.0,-260.94,1.186222,1.186222
base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal1_saw1_dl1.0_dp1.0,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal1_saw1_dl1.0_dp1.0,3,test,2026-05-28,2026-07-02,25,25,1.0,482.5,457.5,-296.22,0.61142,0.61142
base_pre_14_00__fixed_r_1_5_time30__mt3_gap60_sal0_saw0_dl2.0_dp2.0,base_pre_14_00,fixed_r_1_5_time30,mt3_gap60_sal0_saw0_dl2.0_dp2.0,1,test,2026-03-17,2026-04-21,49,25,1.0,216.49,167.49,-339.36,0.658321,0.673287
base_pre_14_00__fixed_r_1_5_time30__mt3_gap60_sal0_saw0_dl2.0_dp2.0,base_pre_14_00,fixed_r_1_5_time30,mt3_gap60_sal0_saw0_dl2.0_dp2.0,2,test,2026-04-22,2026-05-27,51,25,1.0,1033.51,982.51,-234.7,0.211919,0.176592
