audit,portfolio_set,portfolio_mode,fold,is_weak_fold,module_group,phase,net_pnl_contribution
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,1,True,phase14a prior RTH midpoint/close reaction,phase14a,112.98
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,1,True,phase15a trend/power continuation,phase15a,-348.28
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,1,True,phase10b overnight/prior-level branch,phase10b,-4533.27
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,1,True,phase11a opening range fade,phase11a,-1866.22
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,1,True,phase12a opening-drive pullback,phase12a,314.53
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,1,True,phase13a prior RTH high/low breakout,phase13a,-235.64
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,1,True,phase14a prior RTH midpoint/close reaction,phase14a,50.52
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,1,True,phase15a trend/power continuation,phase15a,-397.76
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,1,True,phase10b overnight/prior-level branch,phase10b,-4533.27
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,1,True,phase11a opening range fade,phase11a,-1858.8
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,1,True,phase12a opening-drive pullback,phase12a,314.53
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,1,True,phase13a prior RTH high/low breakout,phase13a,-248.16
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,1,True,phase14a prior RTH midpoint/close reaction,phase14a,50.52
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,1,True,phase15a trend/power continuation,phase15a,-348.28
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,1,True,phase10b overnight/prior-level branch,phase10b,-3465.39
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,1,True,phase11a opening range fade,phase11a,-1774.34
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,1,True,phase12a opening-drive pullback,phase12a,314.53
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,1,True,phase14a prior RTH midpoint/close reaction,phase14a,100.0
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,1,True,phase15a trend/power continuation,phase15a,-348.28
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,2,True,phase10b overnight/prior-level branch,phase10b,1561.42
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,2,True,phase11a opening range fade,phase11a,2155.4
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,2,True,phase12a opening-drive pullback,phase12a,68.79
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,2,True,phase13a prior RTH high/low breakout,phase13a,393.72
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,2,True,phase14a prior RTH midpoint/close reaction,phase14a,253.85
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,2,True,phase15a trend/power continuation,phase15a,-652.88
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,3,True,phase10b overnight/prior-level branch,phase10b,13729.28
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,3,True,phase11a opening range fade,phase11a,-1133.16
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,3,True,phase12a opening-drive pullback,phase12a,28.57
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,3,True,phase13a prior RTH high/low breakout,phase13a,-1900.72
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,3,True,phase14a prior RTH midpoint/close reaction,phase14a,-578.56
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,3,True,phase15a trend/power continuation,phase15a,424.32
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,3,True,phase10b overnight/prior-level branch,phase10b,9697.74
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,3,True,phase11a opening range fade,phase11a,-524.47
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,3,True,phase12a opening-drive pullback,phase12a,-113.65
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,3,True,phase13a prior RTH high/low breakout,phase13a,-1791.98
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,3,True,phase14a prior RTH midpoint/close reaction,phase14a,-920.38
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,3,True,phase15a trend/power continuation,phase15a,865.78
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,4,True,phase10b overnight/prior-level branch,phase10b,6552.54
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,4,True,phase11a opening range fade,phase11a,-500.4
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,4,True,phase12a opening-drive pullback,phase12a,644.48
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,4,True,phase13a prior RTH high/low breakout,phase13a,109.02
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,4,True,phase14a prior RTH midpoint/close reaction,phase14a,-210.47
