signal_time,entry_time,trading_session,side,box_high,box_low,entry_model,timeframe,compression_method,direction_mode,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,net_pnl,stress_pnl,risk_dollars,same_bar_ambiguity,candidate_id
2026-03-27 13:25:00-04:00,2026-03-27 13:30:00-04:00,2026-03-27,short,23528.25,23412.75,next_bar_open,5,range_percentile,both_sides,23379.5,2026-03-27 14:15:00-04:00,23368.5,time_stop,23528.25,23156.375,22.0,19.26,18.26,297.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-30 09:55:00-04:00,2026-03-30 10:00:00-04:00,2026-03-30,short,23538.0,23342.75,next_bar_open,5,range_percentile,both_sides,23302.5,2026-03-30 10:45:00-04:00,23307.25,time_stop,23538.0,22949.25,-9.5,-12.24,-13.24,471.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-30 13:00:00-04:00,2026-03-30 13:05:00-04:00,2026-03-30,short,23321.75,23266.5,next_bar_open,5,range_percentile,both_sides,23263.75,2026-03-30 13:30:00-04:00,23176.75,target,23321.75,23176.75,174.0,171.26,170.26,116.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-31 12:20:00-04:00,2026-03-31 12:25:00-04:00,2026-03-31,long,23545.0,23436.0,next_bar_open,5,range_percentile,both_sides,23562.75,2026-03-31 12:40:00-04:00,23752.875,target,23436.0,23752.875,380.25,377.51,376.51,253.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-31 13:15:00-04:00,2026-03-31 13:20:00-04:00,2026-03-31,long,23862.75,23530.75,next_bar_open,5,range_percentile,both_sides,23865.25,2026-03-31 14:05:00-04:00,23820.25,time_stop,23530.75,24367.0,-90.0,-92.74,-93.74,669.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-01 15:15:00-04:00,2026-04-01 15:20:00-04:00,2026-04-01,long,24205.0,24124.75,next_bar_open,5,range_percentile,both_sides,24211.5,2026-04-01 15:45:00-04:00,24235.0,time_stop,24124.75,24341.625,47.0,44.26,43.26,173.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-02 10:30:00-04:00,2026-04-02 10:35:00-04:00,2026-04-02,long,24006.0,23760.5,next_bar_open,5,range_percentile,both_sides,24017.75,2026-04-02 11:20:00-04:00,24156.5,time_stop,23760.5,24403.625,277.5,274.76,273.76,514.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-02 15:50:00-04:00,2026-04-02 15:55:00-04:00,2026-04-02,long,24181.75,24134.75,next_bar_open,5,range_percentile,both_sides,24202.0,2026-04-02 15:55:00-04:00,24221.0,time_stop,24134.75,24302.875,38.0,35.26,34.26,134.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-06 09:55:00-04:00,2026-04-06 10:00:00-04:00,2026-04-06,long,24410.25,24245.25,next_bar_open,5,range_percentile,both_sides,24417.75,2026-04-06 10:45:00-04:00,24269.25,time_stop,24245.25,24676.5,-297.0,-299.74,-300.74,345.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-07 10:55:00-04:00,2026-04-07 11:00:00-04:00,2026-04-07,short,24146.0,24029.75,next_bar_open,5,range_percentile,both_sides,24009.0,2026-04-07 11:45:00-04:00,24076.5,time_stop,24146.0,23803.5,-135.0,-137.74,-138.74,274.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-08 14:55:00-04:00,2026-04-08 15:00:00-04:00,2026-04-08,short,25131.75,24993.0,next_bar_open,5,range_percentile,both_sides,24953.5,2026-04-08 15:45:00-04:00,25034.0,time_stop,25131.75,24686.125,-161.0,-163.74,-164.74,356.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-09 11:10:00-04:00,2026-04-09 11:15:00-04:00,2026-04-09,long,25053.75,24960.25,next_bar_open,5,range_percentile,both_sides,25072.5,2026-04-09 12:00:00-04:00,25237.0,time_stop,24960.25,25240.875,329.0,326.26,325.26,224.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-09 12:00:00-04:00,2026-04-09 12:05:00-04:00,2026-04-09,long,25197.25,25048.5,next_bar_open,5,range_percentile,both_sides,25236.5,2026-04-09 12:50:00-04:00,25203.5,time_stop,25048.5,25518.5,-66.0,-68.74,-69.74,376.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-10 10:30:00-04:00,2026-04-10 10:35:00-04:00,2026-04-10,long,25352.5,25268.75,next_bar_open,5,range_percentile,both_sides,25355.5,2026-04-10 11:20:00-04:00,25388.5,time_stop,25268.75,25485.625,66.0,63.26,62.26,173.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-10 11:20:00-04:00,2026-04-10 11:25:00-04:00,2026-04-10,long,25383.0,25306.0,next_bar_open,5,range_percentile,both_sides,25389.0,2026-04-10 11:35:00-04:00,25306.0,stop,25306.0,25513.5,-166.0,-168.74,-169.74,166.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-13 15:30:00-04:00,2026-04-13 15:35:00-04:00,2026-04-13,long,25461.75,25429.5,next_bar_open,5,range_percentile,both_sides,25473.25,2026-04-13 15:45:00-04:00,25471.75,time_stop,25429.5,25538.875,-3.0,-5.74,-6.74,87.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-14 11:35:00-04:00,2026-04-14 11:40:00-04:00,2026-04-14,long,25851.25,25762.5,next_bar_open,5,range_percentile,both_sides,25855.25,2026-04-14 12:25:00-04:00,25927.5,time_stop,25762.5,25994.375,144.5,141.76,140.76,185.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-14 12:15:00-04:00,2026-04-14 12:20:00-04:00,2026-04-14,long,25899.75,25843.0,next_bar_open,5,range_percentile,both_sides,25904.25,2026-04-14 13:05:00-04:00,25913.0,time_stop,25843.0,25996.125,17.5,14.76,13.76,122.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-15 10:30:00-04:00,2026-04-15 10:35:00-04:00,2026-04-15,long,26135.0,26022.25,next_bar_open,5,range_percentile,both_sides,26136.5,2026-04-15 11:20:00-04:00,26188.0,time_stop,26022.25,26307.875,103.0,100.26,99.26,228.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-15 12:15:00-04:00,2026-04-15 12:20:00-04:00,2026-04-15,long,26223.25,26168.5,next_bar_open,5,range_percentile,both_sides,26238.0,2026-04-15 12:40:00-04:00,26168.5,stop,26168.5,26342.25,-139.0,-141.74,-142.74,139.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-04-16 09:50:00-04:00,2026-04-16 09:55:00-04:00,2026-04-16,short,26453.5,26345.5,next_bar_open,5,range_percentile,both_sides,26282.75,2026-04-16 10:40:00-04:00,26390.0,time_stop,26453.5,26026.625,-214.5,-217.24,-218.24,341.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
