priority_policy,portfolio_mode,diagnostic_filter,fold,net_pnl,stress_pnl,active_days
concentration_adjusted_priority,max_one_trade_per_session,no_filter_baseline,3,-246.37,-287.37,41
concentration_adjusted_priority,max_one_trade_per_session,no_filter_baseline,4,-1008.88,-1049.88,41
concentration_adjusted_priority,max_one_trade_per_session,no_filter_baseline,5,1305.17,1264.17,41
concentration_adjusted_priority,max_one_trade_per_session,no_filter_baseline,6,2635.14,2592.14,43
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,1,5.26,4.26,1
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,2,-50.06,-51.06,1
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,3,-82.74,-83.74,1
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,4,77.26,76.26,1
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,5,-0.24,-1.24,1
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,6,-136.96,-137.96,1
