candidate_id,signal_time,confirmation_time,entry_time,trading_session,module_family,side,regime_variant,confirmation_model,exit_variant,signal_open,signal_high,signal_low,signal_close,pullback_low,pullback_high,atr,morning_high,morning_low,morning_midpoint,morning_range,morning_close_position,direction_flip_flag,lunch_high,lunch_low,lunch_midpoint,prior_morning_range_sessions_used,skipped_extra_signals_same_day,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,regime_build_start,regime_build_end,lunch_build_start,lunch_build_end,trade_start,trade_end,entry_rule,target_type,paper_trading_approved,split
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2025-12-11 13:50:00-05:00,2025-12-11 13:50:00-05:00,2025-12-11 13:55:00-05:00,2025-12-11,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,25671.25,25674.25,25643.5,25645.0,25643.5,25674.25,26.803571428571427,25649.75,25390.25,25520.0,259.5,0.294798,True,25647.25,25464.0,25555.625,108,1,25645.75,2025-12-11 14:15:00-05:00,25674.5,stop,25674.5,25679.2545,25674.5,25520.0,-57.5,-60.24,-61.24,31.5,107.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-02-13 12:05:00-05:00,2026-02-13 12:05:00-05:00,2026-02-13 12:10:00-05:00,2026-02-13,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,24913.25,24932.25,24906.5,24911.5,24906.5,24932.25,51.67857142857143,24929.25,24578.75,24754.0,350.5,0.778174,True,24994.0,24810.5,24902.25,152,8,24911.25,2026-02-13 12:10:00-05:00,24932.5,stop,24932.5,24975.8482,24932.5,24754.0,-42.5,-45.24,-46.24,0.0,96.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,validation
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-02-17 14:55:00-05:00,2026-02-17 14:55:00-05:00,2026-02-17 15:00:00-05:00,2026-02-17,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,24833.5,24840.25,24807.25,24814.75,24807.25,24840.25,30.892857142857142,24815.5,24449.25,24632.375,366.25,0.759727,True,24787.75,24608.5,24698.125,154,2,24814.75,2026-02-17 15:00:00-05:00,24840.5,stop,24840.5,24853.3661,24840.5,24632.375,-51.5,-54.24,-55.24,9.5,54.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,validation
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-03-02 13:55:00-05:00,2026-03-02 13:55:00-05:00,2026-03-02 14:00:00-05:00,2026-03-02,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,24992.25,24994.0,24968.25,24971.75,24968.25,24994.0,25.982142857142858,24988.0,24605.25,24796.625,382.75,0.68452,False,25076.5,24861.0,24968.75,163,2,24972.0,2026-03-02 14:00:00-05:00,24994.25,stop,24994.25,25004.4777,24994.25,24796.625,-44.5,-47.24,-48.24,10.0,57.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,validation
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-03-03 12:05:00-05:00,2026-03-03 12:05:00-05:00,2026-03-03 12:10:00-05:00,2026-03-03,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,24674.5,24690.25,24631.0,24639.5,24631.0,24690.25,56.857142857142854,24661.0,24350.75,24505.875,310.25,0.865431,True,24725.0,24563.0,24644.0,164,2,24638.5,2026-03-03 12:20:00-05:00,24690.5,stop,24690.5,24709.5714,24690.5,24505.875,-104.0,-106.74,-107.74,36.0,119.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,validation
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-03-09 13:15:00-04:00,2026-03-09 13:15:00-04:00,2026-03-09 13:20:00-04:00,2026-03-09,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,24684.0,24688.5,24640.75,24645.0,24640.75,24688.5,35.589285714285715,24649.75,24313.25,24481.5,336.5,0.979198,True,24750.0,24592.5,24671.25,168,0,24644.75,2026-03-09 13:50:00-04:00,24623.5,time_stop,24688.75,24689.2366,24688.75,24481.5,42.5,39.76,38.76,138.5,9.5,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,validation
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-03-10 13:30:00-04:00,2026-03-10 13:30:00-04:00,2026-03-10 13:35:00-04:00,2026-03-10,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,25212.25,25212.25,25159.0,25162.5,25159.0,25212.25,32.25,25182.0,24892.5,25037.25,289.5,0.866149,True,25172.0,25080.0,25126.0,169,1,25162.5,2026-03-10 14:05:00-04:00,25146.5,time_stop,25212.5,25202.8125,25202.8125,25037.25,32.0,29.26,28.26,121.0,51.5,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,validation
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-04-30 13:30:00-04:00,2026-04-30 13:30:00-04:00,2026-04-30 13:35:00-04:00,2026-04-30,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,27461.75,27502.75,27461.5,27482.5,27461.5,27502.75,28.714285714285715,27490.75,27163.0,27326.875,327.75,0.737605,True,27435.5,27331.0,27383.25,205,0,27483.0,2026-04-30 13:40:00-04:00,27503.0,stop,27503.0,27518.8929,27503.0,27326.875,-40.0,-42.74,-43.74,7.5,45.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,holdout
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-05-15 14:30:00-04:00,2026-05-15 14:30:00-04:00,2026-05-15 14:35:00-04:00,2026-05-15,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,29385.0,29390.75,29316.25,29341.25,29316.25,29390.75,37.69642857142857,29382.5,29089.5,29236.0,293.0,0.834471,True,29380.25,29211.5,29295.875,216,2,29340.75,2026-05-15 14:50:00-04:00,29387.8705,stop,29391.0,29387.8705,29387.8705,29236.0,-94.24,-96.98,-97.98,5.5,125.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,holdout
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-05-19 13:45:00-04:00,2026-05-19 13:45:00-04:00,2026-05-19 13:50:00-04:00,2026-05-19,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,29089.75,29092.25,29035.5,29065.75,29035.5,29092.25,36.92857142857143,29068.0,28663.0,28865.5,405.0,0.267284,True,29035.0,28756.75,28895.875,218,1,29066.25,2026-05-19 14:05:00-04:00,29092.5,stop,29092.5,29112.4107,29092.5,28865.5,-52.5,-55.24,-56.24,115.0,65.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,holdout
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-05-28 12:05:00-04:00,2026-05-28 12:05:00-04:00,2026-05-28 12:10:00-04:00,2026-05-28,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,30255.75,30277.75,30254.0,30273.5,30254.0,30277.75,27.482142857142858,30275.0,29920.25,30097.625,354.75,0.964059,True,30329.5,30238.75,30284.125,225,1,30273.75,2026-05-28 12:10:00-04:00,30278.0,stop,30278.0,30308.1027,30278.0,30097.625,-8.5,-11.24,-12.24,8.5,19.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,holdout
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-06-04 12:30:00-04:00,2026-06-04 12:30:00-04:00,2026-06-04 12:35:00-04:00,2026-06-04,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,30480.25,30480.25,30436.25,30449.75,30436.25,30480.25,32.857142857142854,30469.0,30152.25,30310.625,316.75,0.91397,True,30493.75,30362.0,30427.875,230,0,30449.5,2026-06-04 12:40:00-04:00,30480.5,stop,30480.5,30490.5714,30480.5,30310.625,-62.0,-64.74,-65.74,12.5,80.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,holdout
