pruning_variant,priority_policy,portfolio_mode,fold,net_pnl,stress_pnl,active_days
deprioritize_seed_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,2,886.16,845.16,41
deprioritize_seed_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,3,-72.37,-113.37,41
deprioritize_seed_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,4,-1008.88,-1049.88,41
deprioritize_seed_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,5,1305.17,1264.17,41
deprioritize_seed_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,6,2298.14,2255.14,43
deprioritize_seed_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,1,-2459.85,-2500.85,41
deprioritize_seed_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,2,-2805.22,-2846.22,41
deprioritize_seed_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,3,246.46,205.46,41
deprioritize_seed_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,4,-1887.42,-1928.42,41
deprioritize_seed_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,5,-1525.76,-1566.76,41
deprioritize_seed_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,6,4364.37,4321.37,43
deprioritize_seed_cluster,lowest_correlation_first,max_one_trade_per_session,1,-936.45,-977.45,41
deprioritize_seed_cluster,lowest_correlation_first,max_one_trade_per_session,2,886.16,845.16,41
deprioritize_seed_cluster,lowest_correlation_first,max_one_trade_per_session,3,-72.37,-113.37,41
deprioritize_seed_cluster,lowest_correlation_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
deprioritize_seed_cluster,lowest_correlation_first,max_one_trade_per_session,5,1305.17,1264.17,41
deprioritize_seed_cluster,lowest_correlation_first,max_one_trade_per_session,6,2298.14,2255.14,43
deprioritize_seed_cluster,rare_setup_first,one_trade_at_a_time_chronological,1,-2459.85,-2500.85,41
deprioritize_seed_cluster,rare_setup_first,one_trade_at_a_time_chronological,2,-2805.22,-2846.22,41
deprioritize_seed_cluster,rare_setup_first,one_trade_at_a_time_chronological,3,246.46,205.46,41
deprioritize_seed_cluster,rare_setup_first,one_trade_at_a_time_chronological,4,-1887.42,-1928.42,41
deprioritize_seed_cluster,rare_setup_first,one_trade_at_a_time_chronological,5,-1525.76,-1566.76,41
deprioritize_seed_cluster,rare_setup_first,one_trade_at_a_time_chronological,6,4364.37,4321.37,43
deprioritize_seed_cluster,rare_setup_first,max_one_trade_per_session,1,-936.45,-977.45,41
deprioritize_seed_cluster,rare_setup_first,max_one_trade_per_session,2,886.16,845.16,41
deprioritize_seed_cluster,rare_setup_first,max_one_trade_per_session,3,-72.37,-113.37,41
deprioritize_seed_cluster,rare_setup_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
deprioritize_seed_cluster,rare_setup_first,max_one_trade_per_session,5,1305.17,1264.17,41
deprioritize_seed_cluster,rare_setup_first,max_one_trade_per_session,6,2298.14,2255.14,43
keep_only_deduped_representatives,concentration_adjusted_priority,one_trade_at_a_time_chronological,1,-1769.23,-1810.23,41
keep_only_deduped_representatives,concentration_adjusted_priority,one_trade_at_a_time_chronological,2,-34.16,-75.16,41
keep_only_deduped_representatives,concentration_adjusted_priority,one_trade_at_a_time_chronological,3,1455.52,1414.52,41
keep_only_deduped_representatives,concentration_adjusted_priority,one_trade_at_a_time_chronological,4,-310.93,-351.93,41
keep_only_deduped_representatives,concentration_adjusted_priority,one_trade_at_a_time_chronological,5,1240.88,1199.88,41
keep_only_deduped_representatives,concentration_adjusted_priority,one_trade_at_a_time_chronological,6,6722.58,6679.58,43
keep_only_deduped_representatives,concentration_adjusted_priority,max_one_trade_per_session,1,-936.45,-977.45,41
keep_only_deduped_representatives,concentration_adjusted_priority,max_one_trade_per_session,2,872.66,831.66,41
keep_only_deduped_representatives,concentration_adjusted_priority,max_one_trade_per_session,3,-72.37,-113.37,41
keep_only_deduped_representatives,concentration_adjusted_priority,max_one_trade_per_session,4,-1042.38,-1083.38,41
keep_only_deduped_representatives,concentration_adjusted_priority,max_one_trade_per_session,5,1305.17,1264.17,41
keep_only_deduped_representatives,concentration_adjusted_priority,max_one_trade_per_session,6,2298.14,2255.14,43
keep_only_deduped_representatives,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1,-1769.23,-1810.23,41
keep_only_deduped_representatives,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2,-106.14,-147.14,41
keep_only_deduped_representatives,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,3,1284.78,1243.78,41
keep_only_deduped_representatives,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,4,-82.93,-123.93,41
keep_only_deduped_representatives,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,5,1240.88,1199.88,41
keep_only_deduped_representatives,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,6,6737.84,6694.84,43
keep_only_deduped_representatives,hybrid_validation_then_correlation,max_one_trade_per_session,1,-936.45,-977.45,41
keep_only_deduped_representatives,hybrid_validation_then_correlation,max_one_trade_per_session,2,886.16,845.16,41
keep_only_deduped_representatives,hybrid_validation_then_correlation,max_one_trade_per_session,3,-72.37,-113.37,41
keep_only_deduped_representatives,hybrid_validation_then_correlation,max_one_trade_per_session,4,-1008.88,-1049.88,41
keep_only_deduped_representatives,hybrid_validation_then_correlation,max_one_trade_per_session,5,1305.17,1264.17,41
keep_only_deduped_representatives,hybrid_validation_then_correlation,max_one_trade_per_session,6,2298.14,2255.14,43
keep_only_deduped_representatives,lowest_correlation_first,one_trade_at_a_time_chronological,1,-1769.23,-1810.23,41
keep_only_deduped_representatives,lowest_correlation_first,one_trade_at_a_time_chronological,2,-106.14,-147.14,41
