candidate_id,signal_time,confirmation_time,entry_time,trading_session,side,branch,or_window,entry_window,confirmation_model,exit_variant,signal_close,opening_range_high,opening_range_low,opening_range_midpoint,opening_range_width_points,opening_range_width_bucket,atr,sweep_extreme,sweep_distance_points,sweep_distance_bucket,first_touch,touch_sequence,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,or_start,or_end,entry_start,entry_end,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,split,fees_only_pnl,normal_slippage_pnl
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-10 09:45:00-04:00,2025-09-10 09:45:00-04:00,2025-09-10 09:50:00-04:00,2025-09-10,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23944.5,24000.75,23918.0,23959.375,82.75,wide,46.4375,23912.0,6.0,medium_sweep,1,first_touch,23944.75,2025-09-10 09:50:00-04:00,23911.75,stop,23911.75,23886.7031,23911.75,23959.375,-66.0,-68.74,-69.74,21.5,101.0,0,1,0,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-68.74,-68.74
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-11 09:45:00-04:00,2025-09-11 09:45:00-04:00,2025-09-11 09:50:00-04:00,2025-09-11,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23950.0,23997.75,23911.5,23954.625,86.25,wide,45.25,23909.75,1.75,small_sweep,1,first_touch,23950.0,2025-09-11 09:50:00-04:00,23954.625,target,23909.5,23893.4375,23909.5,23954.625,9.25,6.51,5.51,56.5,20.0,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,6.51,6.51
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-16 09:45:00-04:00,2025-09-16 09:45:00-04:00,2025-09-16 09:50:00-04:00,2025-09-16,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,24318.75,24355.75,24308.75,24332.25,47.0,middle,27.625,24301.25,7.5,medium_sweep,1,first_touch,24318.25,2025-09-16 09:50:00-04:00,24301.0,stop,24301.0,24283.7188,24301.0,24332.25,-34.5,-37.24,-38.24,6.5,69.5,0,1,0,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-37.24,-37.24
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-16 10:20:00-04:00,2025-09-16 10:20:00-04:00,2025-09-16 10:25:00-04:00,2025-09-16,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,24314.0,24355.75,24308.75,24332.25,47.0,middle,26.25,24291.5,17.25,large_sweep,0,later_touch,24314.0,2025-09-16 10:35:00-04:00,24291.25,stop,24291.25,24281.1875,24291.25,24332.25,-45.5,-48.24,-49.24,1.5,58.0,0,1,0,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-48.24,-48.24
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-17 09:45:00-04:00,2025-09-17 09:45:00-04:00,2025-09-17 09:50:00-04:00,2025-09-17,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,24255.5,24301.0,24225.0,24263.0,76.0,wide,33.8125,24223.0,2.0,small_sweep,1,first_touch,24255.75,2025-09-17 09:50:00-04:00,24263.0,target,24222.75,24213.4844,24222.75,24263.0,14.5,11.76,10.76,50.0,6.0,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,11.76,11.76
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-18 09:45:00-04:00,2025-09-18 09:45:00-04:00,2025-09-18 09:50:00-04:00,2025-09-18,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,24656.25,24713.5,24624.5,24669.0,89.0,wide,53.25,24598.75,25.75,large_sweep,1,first_touch,24656.5,2025-09-18 09:50:00-04:00,24669.0,target,24598.5,24589.9375,24598.5,24669.0,25.0,22.26,21.26,84.0,6.5,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,22.259999999999998,22.26
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-23 10:05:00-04:00,2025-09-23 10:05:00-04:00,2025-09-23 10:10:00-04:00,2025-09-23,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,24952.75,25009.75,24942.75,24976.25,67.0,wide,26.03125,24940.25,2.5,small_sweep,0,later_touch,24952.25,2025-09-23 10:10:00-04:00,24940.0,stop,24940.0,24919.7109,24940.0,24976.25,-24.5,-27.24,-28.24,19.5,31.5,0,1,0,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-27.240000000000002,-27.24
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-24 10:00:00-04:00,2025-09-24 10:00:00-04:00,2025-09-24 10:05:00-04:00,2025-09-24,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,24837.75,24899.25,24823.5,24861.375,75.75,wide,36.32142857142857,24804.25,19.25,large_sweep,0,later_touch,24838.0,2025-09-24 10:30:00-04:00,24804.0,stop,24804.0,24792.5982,24804.0,24861.375,-68.0,-70.74,-71.74,3.5,89.5,0,1,0,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-70.74,-70.74
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-26 10:10:00-04:00,2025-09-26 10:10:00-04:00,2025-09-26 10:15:00-04:00,2025-09-26,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,24605.5,24712.5,24596.75,24654.625,115.75,wide,57.333333333333336,24589.0,7.75,medium_sweep,1,first_touch,24605.75,2025-09-26 10:15:00-04:00,24588.75,stop,24588.75,24534.0833,24588.75,24654.625,-34.0,-36.74,-37.74,17.5,47.0,0,1,0,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-36.74,-36.74
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-30 09:55:00-04:00,2025-09-30 09:55:00-04:00,2025-09-30 10:00:00-04:00,2025-09-30,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,24788.25,24830.75,24741.25,24786.0,89.5,wide,55.875,24722.5,18.75,large_sweep,0,later_touch,24788.0,2025-09-30 10:00:00-04:00,24788.25,target,24722.25,24718.1562,24722.25,24788.25,0.5,-2.24,-3.24,49.0,18.0,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-2.24,-2.24
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-10-01 09:50:00-04:00,2025-10-01 09:50:00-04:00,2025-10-01 09:55:00-04:00,2025-10-01,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,24778.25,24841.5,24743.5,24792.5,98.0,wide,63.85,24726.0,17.5,large_sweep,0,later_touch,24778.0,2025-10-01 09:55:00-04:00,24792.5,target,24725.75,24698.1875,24725.75,24792.5,29.0,26.26,25.26,81.5,36.5,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,26.259999999999998,26.26
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-10-02 09:50:00-04:00,2025-10-02 09:50:00-04:00,2025-10-02 09:55:00-04:00,2025-10-02,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,25049.5,25169.0,25036.25,25102.625,132.75,wide,49.2,25014.25,22.0,large_sweep,0,later_touch,25049.5,2025-10-02 10:25:00-04:00,25076.0,time_stop,25014.0,24988.0,25014.0,25102.625,53.0,50.26,49.26,84.5,60.0,0,0,0,1,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,50.26,50.26
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-10-07 10:00:00-04:00,2025-10-07 10:00:00-04:00,2025-10-07 10:05:00-04:00,2025-10-07,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,25220.0,25263.0,25217.0,25240.0,46.0,middle,28.25,25213.5,3.5,small_sweep,1,first_touch,25219.75,2025-10-07 10:05:00-04:00,25240.0,target,25213.25,25184.4375,25213.25,25240.0,40.5,37.76,36.76,54.0,10.5,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,37.76,37.76
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-10-09 09:45:00-04:00,2025-10-09 09:45:00-04:00,2025-10-09 09:50:00-04:00,2025-10-09,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,25301.75,25334.75,25258.75,25296.75,76.0,wide,39.4375,25253.75,5.0,small_sweep,1,first_touch,25302.0,2025-10-09 09:50:00-04:00,25302.25,target,25253.5,25252.7031,25253.5,25302.25,0.5,-2.24,-3.24,30.0,83.0,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-2.24,-2.24
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-10-09 10:15:00-04:00,2025-10-09 10:15:00-04:00,2025-10-09 10:20:00-04:00,2025-10-09,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,25264.75,25334.75,25258.75,25296.75,76.0,wide,34.325,25256.0,2.75,small_sweep,0,later_touch,25265.0,2025-10-09 10:20:00-04:00,25255.75,stop,25255.75,25222.0938,25255.75,25296.75,-18.5,-21.24,-22.24,23.5,39.5,0,1,0,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-21.240000000000002,-21.24
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-10-14 09:45:00-04:00,2025-10-14 09:45:00-04:00,2025-10-14 09:50:00-04:00,2025-10-14,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,24474.75,24642.0,24430.25,24536.125,211.75,wide,88.4375,24423.25,7.0,medium_sweep,1,first_touch,24474.5,2025-10-14 09:50:00-04:00,24536.125,target,24423.0,24363.9531,24423.0,24536.125,123.25,120.51,119.51,161.0,28.0,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,120.51,120.51
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-10-15 09:50:00-04:00,2025-10-15 09:50:00-04:00,2025-10-15 09:55:00-04:00,2025-10-15,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,24978.5,25004.25,24920.5,24962.375,83.75,wide,69.75,24908.5,12.0,medium_sweep,0,later_touch,24977.75,2025-10-15 09:55:00-04:00,24978.0,target,24908.25,24890.5625,24908.25,24978.0,0.5,-2.24,-3.24,93.0,3.5,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-2.24,-2.24
