audit,portfolio_set,portfolio_mode,fold,is_weak_fold,overlap_days,overlap_day_frequency,avg_modules_firing_per_day,trade_overlap_count_portfolio_level,skipped_overlap_count_portfolio_level,skipped_session_count_portfolio_level,early_losing_module_when_later_module_helped_days,diagnosis_overlap_priority_risk,diagnosis_max_one_session_suppression_risk,high_movement_no_trade_days
D,top_cross_family_plus_13a_14a_15a,raw_sum_diagnostic,1,True,41,1.0,9.04878,293,0,0,12,True,False,0
D,diversifier_only_13a_14a_15a,raw_sum_diagnostic,1,True,41,1.0,9.414634,183,0,0,11,True,False,0
D,trend_power_only_phase15a,raw_sum_diagnostic,1,True,40,1.0,9.65,40,0,0,11,True,False,0
D,all_parked_modules_with_13a_14a_15a,raw_sum_diagnostic,1,True,42,1.0,9.238095,3307,0,0,12,True,False,0
D,rare_setup_plus_15a,raw_sum_diagnostic,1,True,33,1.0,9.606061,75,0,0,9,True,False,0
D,greedy_low_correlation_with_15a,raw_sum_diagnostic,1,True,40,1.0,9.225,113,0,0,12,True,False,0
D,trend_power_only_phase15a,raw_sum_diagnostic,2,True,32,1.0,9.4375,40,0,0,6,True,False,0
D,rare_setup_plus_15a,raw_sum_diagnostic,2,True,41,1.0,9.341463,75,0,0,9,True,False,0
D,greedy_low_correlation_with_15a,raw_sum_diagnostic,2,True,40,1.0,9.675,113,0,0,7,True,False,0
D,top_cross_family_plus_13a_14a_15a,raw_sum_diagnostic,3,True,41,1.0,10.121951,293,0,0,9,True,False,0
D,diversifier_only_13a_14a_15a,raw_sum_diagnostic,3,True,39,1.0,10.333333,183,0,0,8,True,False,0
D,greedy_low_correlation_with_15a,raw_sum_diagnostic,3,True,40,0.97561,9.902439,113,0,0,7,True,False,0
B,audit_a_best_reconstructed,max_one_trade_per_session,1,False,42,1.0,9.309524,0,0,193,12,True,True,0
B,audit_a_best_reconstructed,max_one_trade_per_session,2,False,41,0.97619,9.738095,0,0,193,7,True,True,0
B,audit_a_best_plus_phase13a,max_one_trade_per_session,2,False,39,0.975,9.475,0,0,402,7,True,True,0
B,top_cross_family_plus_phase13a,max_one_trade_per_session,2,False,39,1.0,9.871795,0,0,318,7,True,True,0
B,diversifier_only_phase13a,max_one_trade_per_session,2,False,37,1.0,9.405405,0,0,123,7,True,True,0
B,all_parked_modules_with_phase13a,max_one_trade_per_session,2,False,41,0.97619,9.714286,0,0,1234,7,True,True,0
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,2,False,40,0.97561,9.658537,0,0,393,7,True,True,0
B,audit_a_best_reconstructed,max_one_trade_per_session,3,False,38,1.0,9.868421,0,0,193,7,True,True,0
B,audit_a_best_plus_phase13a,max_one_trade_per_session,4,False,39,1.0,10.564103,0,0,402,9,True,True,0
B,diversifier_only_phase13a,max_one_trade_per_session,4,False,47,1.0,9.808511,0,0,123,11,True,True,0
B,rare_plus_diversifier_modules,max_one_trade_per_session,4,False,39,1.0,9.794872,0,0,256,9,True,True,0
B,audit_a_best_reconstructed,max_one_trade_per_session,5,False,42,0.976744,8.674419,0,0,193,7,True,True,0
B,audit_a_best_plus_phase13a,max_one_trade_per_session,5,False,41,0.97619,8.642857,0,0,402,8,True,True,0
B,top_cross_family_plus_phase13a,max_one_trade_per_session,5,False,41,0.97619,8.642857,0,0,318,8,True,True,0
B,diversifier_only_phase13a,max_one_trade_per_session,5,False,29,0.966667,8.366667,0,0,123,6,True,True,0
B,all_parked_modules_with_phase13a,max_one_trade_per_session,5,False,40,0.97561,8.512195,0,0,1234,7,True,True,0
B,rare_plus_diversifier_modules,max_one_trade_per_session,5,False,36,0.972973,8.567568,0,0,256,6,True,True,0
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,5,False,40,0.97561,8.512195,0,0,393,7,True,True,0
B,audit_a_best_reconstructed,max_one_trade_per_session,6,False,44,1.0,8.545455,0,0,193,15,True,True,0
B,audit_a_best_plus_phase13a,max_one_trade_per_session,6,False,43,1.0,8.44186,0,0,402,14,True,True,0
B,top_cross_family_plus_phase13a,max_one_trade_per_session,6,False,42,1.0,8.428571,0,0,318,14,True,True,0
B,diversifier_only_phase13a,max_one_trade_per_session,6,False,39,1.0,8.205128,0,0,123,14,True,True,0
B,all_parked_modules_with_phase13a,max_one_trade_per_session,6,False,40,1.0,8.65,0,0,1234,14,True,True,0
B,rare_plus_diversifier_modules,max_one_trade_per_session,6,False,37,1.0,8.756757,0,0,256,14,True,True,0
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,6,False,44,1.0,8.545455,0,0,393,15,True,True,0
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,2,False,41,0.97619,9.738095,0,39,0,7,True,False,0
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2,False,39,0.975,9.475,0,183,0,7,True,False,0
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,2,False,39,1.0,9.871795,0,165,0,7,True,False,0
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,2,False,37,1.0,9.405405,0,119,0,7,True,False,0
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,2,False,45,0.978261,10.369565,0,152,0,9,True,False,0
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,2,False,40,0.97561,9.658537,0,81,0,7,True,False,0
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,3,False,38,1.0,9.868421,0,39,0,7,True,False,0
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,3,False,41,1.0,10.121951,0,183,0,9,True,False,0
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,3,False,42,1.0,9.97619,0,165,0,9,True,False,0
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,3,False,40,1.0,10.075,0,689,0,8,True,False,0
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,3,False,40,1.0,10.175,0,81,0,8,True,False,0
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,4,False,37,1.0,10.513514,0,39,0,10,True,False,0
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,4,False,39,1.0,10.564103,0,183,0,9,True,False,0
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,4,False,47,1.0,9.808511,0,119,0,11,True,False,0
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,4,False,39,1.0,9.794872,0,152,0,9,True,False,0
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,5,False,42,0.976744,8.674419,0,39,0,7,True,False,0
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,5,False,41,0.97619,8.642857,0,183,0,8,True,False,0
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,5,False,41,0.97619,8.642857,0,165,0,8,True,False,0
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,5,False,29,0.966667,8.366667,0,119,0,6,True,False,0
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,5,False,36,0.972973,8.567568,0,152,0,6,True,False,0
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,5,False,40,0.97561,8.512195,0,81,0,7,True,False,0
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,6,False,44,1.0,8.545455,0,39,0,15,True,False,0
