hypothesis_id,instrument,family,side_filter,timeframe,entry_delay,exit_shape,event_time,entry_time,exit_time,trading_session,side,entry_price,exit_price,exit_reason,gross_pnl,net_pnl,stress_net_pnl,same_bar_ambiguity,minute_of_day,rth_bucket,weekday,phase8i_source_note
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 15:23:00-04:00,2026-05-11 15:28:00-04:00,2026-05-11 15:43:00-04:00,2026-05-11,long,29388.0,29391.25,time_stop,6.5,3.76,2.76,0,928,14:00-15:30,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 15:24:00-04:00,2026-05-11 15:29:00-04:00,2026-05-11 15:44:00-04:00,2026-05-11,long,29381.75,29382.25,time_stop,1.0,-1.7400000000000002,-2.74,0,929,14:00-15:30,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 15:32:00-04:00,2026-05-11 15:37:00-04:00,2026-05-11 15:52:00-04:00,2026-05-11,long,29376.25,29421.5,time_stop,90.5,87.76,86.76,0,937,15:30-16:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 15:34:00-04:00,2026-05-11 15:39:00-04:00,2026-05-11 15:54:00-04:00,2026-05-11,long,29390.0,29419.0,time_stop,58.0,55.26,54.26,0,939,15:30-16:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 15:40:00-04:00,2026-05-11 15:45:00-04:00,2026-05-11 15:59:00-04:00,2026-05-11,long,29384.0,29429.0,time_stop,90.0,87.26,86.26,0,945,15:30-16:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 15:41:00-04:00,2026-05-11 15:46:00-04:00,2026-05-11 15:59:00-04:00,2026-05-11,long,29390.75,29429.0,time_stop,76.5,73.76,72.76,0,946,15:30-16:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 15:48:00-04:00,2026-05-11 15:53:00-04:00,2026-05-11 15:59:00-04:00,2026-05-11,long,29406.0,29429.0,time_stop,46.0,43.26,42.26,0,953,15:30-16:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 09:32:00-04:00,2026-05-12 09:37:00-04:00,2026-05-12 09:52:00-04:00,2026-05-12,long,29177.0,29223.0,time_stop,92.0,89.26,88.26,0,577,09:30-10:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 09:35:00-04:00,2026-05-12 09:40:00-04:00,2026-05-12 09:55:00-04:00,2026-05-12,long,29238.25,29192.5,time_stop,-91.5,-94.24,-95.24,0,580,09:30-10:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 09:37:00-04:00,2026-05-12 09:42:00-04:00,2026-05-12 09:57:00-04:00,2026-05-12,long,29263.0,29150.0,time_stop,-226.0,-228.74,-229.74,0,582,09:30-10:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 09:47:00-04:00,2026-05-12 09:52:00-04:00,2026-05-12 10:07:00-04:00,2026-05-12,long,29223.0,29139.5,time_stop,-167.0,-169.74,-170.74,0,592,09:30-10:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 09:49:00-04:00,2026-05-12 09:54:00-04:00,2026-05-12 10:09:00-04:00,2026-05-12,long,29224.25,29136.5,time_stop,-175.5,-178.24,-179.24,0,594,09:30-10:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 09:50:00-04:00,2026-05-12 09:55:00-04:00,2026-05-12 10:10:00-04:00,2026-05-12,long,29192.5,29131.25,time_stop,-122.5,-125.24,-126.24,0,595,09:30-10:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 09:52:00-04:00,2026-05-12 09:57:00-04:00,2026-05-12 10:12:00-04:00,2026-05-12,long,29150.0,29152.0,time_stop,4.0,1.2599999999999998,0.2599999999999998,0,597,09:30-10:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 09:55:00-04:00,2026-05-12 10:00:00-04:00,2026-05-12 10:15:00-04:00,2026-05-12,long,29119.75,29198.0,time_stop,156.5,153.76,152.76,0,600,10:00-11:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 10:14:00-04:00,2026-05-12 10:19:00-04:00,2026-05-12 10:34:00-04:00,2026-05-12,long,29219.25,29043.0,time_stop,-352.5,-355.24,-356.24,0,619,10:00-11:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 10:17:00-04:00,2026-05-12 10:22:00-04:00,2026-05-12 10:37:00-04:00,2026-05-12,long,29193.5,29077.5,time_stop,-232.0,-234.74,-235.74,0,622,10:00-11:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 10:18:00-04:00,2026-05-12 10:23:00-04:00,2026-05-12 10:38:00-04:00,2026-05-12,long,29179.0,29090.75,time_stop,-176.5,-179.24,-180.24,0,623,10:00-11:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-12 10:23:00-04:00,2026-05-12 10:28:00-04:00,2026-05-12 10:43:00-04:00,2026-05-12,long,29098.5,29104.5,time_stop,12.0,9.26,8.26,0,628,10:00-11:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
