entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,holding_minutes,candidate_id,instrument,family,variant,params,signal_time,trading_session,side,reason,base_cost,stress_cost,net_pnl,stress_net_pnl,split,entry_hour
2026-05-18 09:55:00-04:00,29272.5,2026-05-18 09:56:00-04:00,29294.75,target,29257.25,29294.75,44.5,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-18 09:54:00-04:00,2026-05-18,long,vwap_reclaim_long,2.74,3.74,41.76,40.76,discovery,09:55
2026-05-18 09:59:00-04:00,29243.25,2026-05-18 09:59:00-04:00,29259.0,stop,29259.0,29221.5,-31.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-18 09:58:00-04:00,2026-05-18,short,vwap_failure_short,2.74,3.74,-34.24,-35.24,discovery,09:59
2026-05-18 10:09:00-04:00,29244.0,2026-05-18 10:10:00-04:00,29228.25,stop,29228.25,29265.75,-31.5,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-18 10:08:00-04:00,2026-05-18,long,vwap_reclaim_long,2.74,3.74,-34.24,-35.24,discovery,10:09
2026-05-19 09:49:00-04:00,28964.0,2026-05-19 09:49:00-04:00,28949.0,stop,28949.0,28986.5,-30.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-19 09:48:00-04:00,2026-05-19,long,vwap_reclaim_long,2.74,3.74,-32.74,-33.74,discovery,09:49
2026-05-19 09:50:00-04:00,28944.25,2026-05-19 09:50:00-04:00,28959.0,stop,28959.0,28921.5,-29.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-19 09:49:00-04:00,2026-05-19,short,vwap_failure_short,2.74,3.74,-32.24,-33.24,discovery,09:50
2026-05-19 09:52:00-04:00,28966.75,2026-05-19 09:52:00-04:00,28952.0,stop,28952.0,28989.5,-29.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-19 09:51:00-04:00,2026-05-19,long,vwap_reclaim_long,2.74,3.74,-32.24,-33.24,discovery,09:52
2026-05-20 09:52:00-04:00,29101.0,2026-05-20 09:52:00-04:00,29115.75,stop,29115.75,29078.25,-29.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-20 09:51:00-04:00,2026-05-20,short,vwap_failure_short,2.74,3.74,-32.24,-33.24,discovery,09:52
2026-05-20 09:53:00-04:00,29124.5,2026-05-20 09:53:00-04:00,29147.0,target,29109.5,29147.0,45.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-20 09:52:00-04:00,2026-05-20,long,vwap_reclaim_long,2.74,3.74,42.26,41.26,discovery,09:53
2026-05-20 09:55:00-04:00,29085.25,2026-05-20 09:55:00-04:00,29061.75,target,29099.25,29061.75,47.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-20 09:54:00-04:00,2026-05-20,short,vwap_failure_short,2.74,3.74,44.26,43.26,discovery,09:55
2026-05-21 09:46:00-04:00,29236.0,2026-05-21 09:47:00-04:00,29221.25,stop,29221.25,29258.75,-29.5,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-21 09:45:00-04:00,2026-05-21,long,vwap_reclaim_long,2.74,3.74,-32.24,-33.24,discovery,09:46
2026-05-21 09:48:00-04:00,29218.5,2026-05-21 09:48:00-04:00,29195.5,target,29233.0,29195.5,46.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-21 09:47:00-04:00,2026-05-21,short,vwap_failure_short,2.74,3.74,43.26,42.26,discovery,09:48
2026-05-21 09:52:00-04:00,29229.5,2026-05-21 09:52:00-04:00,29253.0,target,29215.5,29253.0,47.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-21 09:51:00-04:00,2026-05-21,long,vwap_reclaim_long,2.74,3.74,44.26,43.26,discovery,09:52
2026-05-22 09:46:00-04:00,29665.0,2026-05-22 09:46:00-04:00,29649.5,stop,29649.5,29687.0,-31.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-22 09:45:00-04:00,2026-05-22,long,vwap_reclaim_long,2.74,3.74,-33.74,-34.74,discovery,09:46
2026-05-22 09:49:00-04:00,29623.25,2026-05-22 09:51:00-04:00,29600.75,target,29638.25,29600.75,45.0,2,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-22 09:48:00-04:00,2026-05-22,short,vwap_failure_short,2.74,3.74,42.26,41.26,discovery,09:49
2026-05-22 10:00:00-04:00,29641.0,2026-05-22 10:00:00-04:00,29627.25,stop,29627.25,29664.75,-27.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-22 09:59:00-04:00,2026-05-22,long,vwap_reclaim_long,2.74,3.74,-30.240000000000002,-31.240000000000002,discovery,10:00
2026-05-25 10:08:00-04:00,29973.25,2026-05-25 10:15:00-04:00,29950.75,target,29988.25,29950.75,45.0,7,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-25 10:07:00-04:00,2026-05-25,short,vwap_failure_short,2.74,3.74,42.26,41.26,discovery,10:08
2026-05-25 10:09:00-04:00,29973.5,2026-05-25 10:13:00-04:00,29959.0,stop,29959.0,29996.5,-29.0,4,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-25 10:08:00-04:00,2026-05-25,long,vwap_reclaim_long,2.74,3.74,-31.740000000000002,-32.74,discovery,10:09
2026-05-25 10:10:00-04:00,29965.5,2026-05-25 10:29:00-04:00,29943.0,target,29980.5,29943.0,45.0,19,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-25 10:09:00-04:00,2026-05-25,short,vwap_failure_short,2.74,3.74,42.26,41.26,discovery,10:10
