candidate_id,fold,segment_start,segment_end,trades,net_pnl,stress_pnl,max_drawdown,best_day_concentration,best_trade_concentration
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,11,-509.64,-520.64,-1498.94,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_keep1000,1,2025-12-02,2026-01-07,20,447.2,427.2,-319.9,0.770394,1.123122
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_keep1000,2,2026-01-08,2026-02-11,22,619.72,597.72,-610.72,0.657587,0.840315
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_keep1000,3,2026-02-12,2026-03-18,16,440.66,424.66,-520.92,1.294694,0.798257
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_keep1000,4,2026-03-19,2026-04-22,18,-9.32,-27.32,-615.2,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_keep1000,5,2026-04-23,2026-05-27,14,-807.86,-821.86,-724.68,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_keep1000,6,2026-05-28,2026-07-01,20,-603.8,-623.8,-2509.38,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,16,-522.34,-538.34,-450.6,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,21,686.96,665.96,-703.22,0.701671,0.758065
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,13,569.38,556.38,-327.7,1.002002,0.617795
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,18,-9.32,-27.32,-615.2,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,12,-586.38,-598.38,-530.44,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,18,-781.82,-799.82,-2075.64,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,1,2025-12-02,2026-01-07,24,-39.76,-63.76,-689.64,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,2,2026-01-08,2026-02-11,24,1874.24,1850.24,-376.98,0.277851,0.277851
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,3,2026-02-12,2026-03-18,24,1505.74,1481.74,-302.98,0.332899,0.332899
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,4,2026-03-19,2026-04-22,24,467.49,443.49,-601.22,1.04229,1.04229
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,5,2026-04-23,2026-05-27,25,-93.0,-118.0,-618.92,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,6,2026-05-28,2026-07-01,24,-2892.26,-2916.26,-3292.62,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,23,-1030.52,-1053.52,-1040.04,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,24,1401.74,1377.74,-422.2,0.37151,0.37151
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,23,1098.48,1075.48,-253.96,0.288817,0.288817
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,24,360.49,336.49,-601.22,1.047214,1.047214
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,25,-267.0,-292.0,-690.92,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,24,-1106.26,-1130.26,-2562.4,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_keep1000,1,2025-12-02,2026-01-07,44,-565.06,-609.06,-1161.16,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_keep1000,2,2026-01-08,2026-02-11,44,1070.44,1026.44,-482.72,0.380703,0.486492
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_keep1000,3,2026-02-12,2026-03-18,43,1409.68,1366.68,-587.16,0.404716,0.355584
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_keep1000,4,2026-03-19,2026-04-22,41,349.41,308.41,-601.22,1.495435,1.394522
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_keep1000,5,2026-04-23,2026-05-27,47,85.97,38.97,-420.92,3.734093,2.663836
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_keep1000,6,2026-05-28,2026-07-01,46,-2859.54,-2905.54,-4322.02,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,39,-1246.36,-1285.36,-1450.66,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,41,1086.16,1045.16,-458.92,0.443784,0.479451
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,36,864.36,828.36,-548.96,0.660049,0.40696
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,39,-167.11,-206.11,-910.32,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,44,-229.81,-273.81,-570.2,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,45,-1886.8,-1931.8,-3545.8,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_keep1000,1,2025-12-02,2026-01-07,24,-39.76,-63.76,-689.64,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_keep1000,2,2026-01-08,2026-02-11,24,1874.24,1850.24,-376.98,0.277851,0.277851
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_keep1000,3,2026-02-12,2026-03-18,24,1331.24,1307.24,-302.98,0.245455,0.245455
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_keep1000,4,2026-03-19,2026-04-22,24,594.24,570.24,-601.22,0.84858,0.84858
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_keep1000,5,2026-04-23,2026-05-27,25,-93.0,-118.0,-618.92,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_keep1000,6,2026-05-28,2026-07-01,24,-2892.26,-2916.26,-3292.62,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,23,-1030.52,-1053.52,-1040.04,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,24,1401.74,1377.74,-422.2,0.37151,0.37151
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,23,1098.48,1075.48,-253.96,0.288817,0.288817
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,24,487.24,463.24,-601.22,1.034931,1.034931
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,25,-267.0,-292.0,-690.92,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,24,-1106.26,-1130.26,-2562.4,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,1,2025-12-02,2026-01-07,44,-565.06,-609.06,-1161.16,1.0,1.0
