portfolio_set,portfolio_mode,trading_session,net_pnl,negative_day_rank,is_worst_20_day,phase13a_pnl,non_phase13a_pnl,phase13a_helped,phase13a_hurt,no_module_helped
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-10-28,-84.24,53,False,-84.66,-304.3299999999999,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-07-17,-83.9,54,False,-303.06000000000006,703.7,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-03-31,-82.24,55,False,-1473.6799999999998,-308.58,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-10-14,-81.74,56,False,-65.21999999999998,2002.4499999999998,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-02-25,-78.74,57,False,-240.83999999999997,301.64,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-01-20,-78.24,58,False,-807.24,-491.26999999999975,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-12-16,-77.74,59,False,-606.5600000000001,742.3100000000001,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-08-13,-77.38,60,False,-357.48,-92.52999999999997,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-08-01,-76.74,61,False,-1285.3,-2075.8399999999997,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-09-08,-73.74,62,False,-33.35999999999998,-1244.1599999999999,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-03-11,-72.74,63,False,639.12,-71.43999999999986,False,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-03-20,-71.74,64,False,-433.82,-3441.27,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-12-04,-69.24,65,False,-281.67999999999995,-595.3300000000002,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-12-11,-66.74,66,False,-1279.46,-448.73999999999995,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-06-02,-65.82,67,False,-203.43999999999997,-574.65,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-03-18,-64.24,68,False,78.84000000000003,-2735.67,True,False,False
